區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,45074.50,4574.16,3786.74,3253.83,3358.52,3625.22,3551.72,4042.27,3988.47,3541.86,4047.17,3587.16,3717.38
北投區,3275.75,340.97,261.67,234.92,250.85,266.86,252.94,297.92,287.14,254.24,298.87,256.66,272.71
松山區,3700.19,378.23,319.04,266.02,272.57,292.40,295.11,326.96,326.69,289.89,332.11,294.88,306.29
中山區,5402.85,546.79,458.00,397.53,414.91,428.55,421.63,476.81,471.39,415.39,476.06,447.34,448.45
南港區,1828.31,187.11,157.43,127.99,135.13,141.15,144.84,170.94,159.94,149.50,160.93,142.38,150.97
士林區,4015.30,400.06,331.19,300.18,296.08,317.80,323.29,354.09,355.89,321.81,355.04,321.15,338.72
內湖區,4827.14,486.56,413.41,338.29,354.59,395.88,380.02,436.91,430.86,380.12,435.65,384.39,390.46
信義區,3769.51,388.81,311.13,272.18,275.67,302.50,281.96,332.83,336.25,295.14,344.61,310.83,317.60
中正區,2511.02,243.52,211.65,171.67,181.63,208.14,206.38,234.03,234.75,200.31,230.29,194.41,194.24
萬華區,2476.80,254.06,198.64,181.78,185.11,204.02,196.87,214.58,219.16,199.00,231.63,189.15,202.80
大安區,5958.62,600.04,508.57,438.78,446.03,475.38,469.76,526.71,534.16,479.02,522.81,463.30,494.06
文山區,4785.37,497.66,419.39,348.07,358.39,391.99,381.83,439.76,424.34,374.01,406.97,360.17,382.79
大同區,1728.69,175.59,147.43,124.73,126.85,143.28,132.07,151.23,151.41,131.61,161.20,133.41,149.88
其他,794.95,74.76,49.19,51.69,60.71,57.27,65.02,79.50,56.49,51.82,91.00,89.09,68.41
