區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,53674.09,4669.78,5234.07,4032.74,3902.58,4469.26,4579.06,4880.20,4831.50,4497.98,4273.66,4114.91,4188.35
北投區,3942.09,347.76,356.65,297.39,281.13,334.99,343.73,364.18,363.27,334.83,313.87,307.89,296.40
松山區,4417.57,391.07,438.09,327.24,326.07,376.60,366.67,388.47,390.84,363.45,349.25,343.93,355.89
中山區,6107.89,535.20,610.52,482.74,453.17,500.70,508.37,536.22,523.28,491.55,483.01,492.43,490.70
南港區,2206.70,193.79,226.71,164.31,158.75,180.65,181.89,202.06,186.02,185.26,181.35,174.49,171.42
士林區,5289.94,466.25,528.58,389.51,379.77,431.04,455.21,481.95,471.94,453.15,418.46,401.57,412.51
內湖區,5963.02,500.26,582.25,418.26,404.56,507.80,522.32,560.30,564.88,513.46,480.64,445.97,462.32
信義區,4539.87,409.58,427.23,336.96,343.56,384.08,403.12,406.74,405.37,372.52,359.74,343.44,347.53
中正區,3012.37,245.02,290.68,226.43,212.53,256.46,253.40,270.62,284.17,262.95,244.79,232.90,232.42
萬華區,2716.29,240.39,274.28,213.15,203.59,224.96,221.53,235.85,239.72,225.15,221.66,202.31,213.70
大安區,7148.10,617.74,683.85,536.85,514.12,598.50,605.46,654.88,650.34,599.44,570.50,553.58,562.84
文山區,5650.01,477.59,572.31,410.74,411.55,462.13,505.39,542.61,515.31,471.90,446.09,416.19,418.20
大同區,1573.61,145.08,154.87,123.53,126.59,130.19,134.26,143.96,140.20,130.90,118.70,112.20,113.13
其他,1106.63,100.05,88.05,105.63,87.19,81.16,77.71,92.36,96.16,93.42,85.60,88.01,111.29
