區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,29773.82,3718.36,2025.15,2226.48,2183.91,2452.31,2398.65,2656.52,2437.65,2520.95,2405.64,2265.76,2482.44
北投區,1994.17,255.08,136.22,150.52,142.99,168.34,164.86,174.53,161.73,163.16,162.42,149.52,164.80
松山區,2558.40,328.22,180.92,193.44,188.87,213.16,201.01,222.55,211.52,218.92,208.73,188.57,202.49
中山區,3543.32,427.63,246.92,273.18,272.02,292.35,279.85,310.38,283.94,295.19,282.19,270.99,308.68
南港區,1257.96,159.84,86.95,93.13,97.98,108.37,101.55,113.52,102.63,107.40,99.23,90.39,96.97
士林區,2475.21,298.43,164.97,180.61,181.96,201.65,200.10,216.43,202.43,224.22,206.82,190.53,207.06
內湖區,2848.40,362.70,191.96,203.85,207.20,230.21,223.81,260.31,240.53,245.82,232.52,215.87,233.62
信義區,3175.02,426.18,213.47,240.59,234.28,264.89,256.95,269.73,260.25,258.97,249.30,241.09,259.32
中正區,1810.66,214.34,123.31,132.74,127.02,147.13,146.20,156.85,143.05,148.29,157.83,158.53,155.37
萬華區,1604.57,201.85,114.71,123.67,120.55,133.35,130.04,135.41,125.45,130.53,129.25,126.34,133.42
大安區,3636.76,431.88,256.07,271.88,264.51,300.56,285.10,320.82,308.22,320.64,298.09,273.84,305.15
文山區,3203.46,410.73,216.50,236.80,235.44,260.84,262.99,300.74,263.99,272.68,253.01,232.13,257.61
大同區,1049.17,136.85,71.77,84.83,73.83,90.31,81.13,94.57,83.67,84.67,86.91,78.72,81.91
其他,616.72,64.63,21.38,41.24,37.26,41.15,65.06,80.68,50.24,50.46,39.34,49.24,76.04
