區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,52744.07,5747.83,3449.70,4112.34,4040.45,4341.30,4472.42,4580.75,4453.47,4416.75,4344.07,4209.63,4575.36
北投區,3703.49,385.99,229.77,285.14,295.79,299.64,324.71,329.77,309.48,311.76,305.91,302.60,322.93
松山區,4356.61,487.38,303.76,347.92,325.21,364.40,358.47,376.07,355.15,360.05,359.20,339.34,379.66
中山區,6071.67,669.79,399.23,478.63,473.71,481.83,499.58,517.49,501.11,502.26,504.04,506.69,537.31
南港區,2226.45,243.58,147.85,180.66,173.94,182.92,187.93,189.61,179.87,184.68,181.47,179.67,194.27
士林區,5086.49,567.99,330.35,399.62,390.61,413.10,434.90,430.41,424.96,430.36,426.91,394.93,442.35
內湖區,5837.61,665.02,374.08,434.96,450.06,502.13,501.82,513.52,502.67,494.18,469.06,451.69,478.42
信義區,4481.86,480.75,289.01,354.21,344.33,361.92,374.75,389.78,370.98,380.88,366.89,363.83,404.53
中正區,2880.12,317.63,193.33,225.01,212.87,252.14,245.77,254.82,247.94,236.85,236.78,217.59,239.39
萬華區,2739.07,298.43,180.13,206.45,204.94,221.31,235.88,240.83,229.90,232.78,238.33,218.05,232.04
大安區,7144.00,780.15,457.31,546.52,542.81,588.27,589.61,620.39,616.42,597.08,587.69,581.43,636.32
文山區,5628.41,607.48,360.75,434.05,426.51,478.63,499.52,496.56,479.82,470.78,457.38,442.35,474.58
大同區,1485.90,163.67,92.69,112.71,113.85,113.27,123.19,129.14,124.35,130.07,128.92,120.06,133.98
其他,1102.39,79.97,91.44,106.46,85.82,81.74,96.29,92.36,110.82,85.02,81.49,91.40,99.58
