區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,32526.55,4148.58,2574.44,2659.92,2482.81,2639.15,2780.30,2743.32,2523.78,2407.35,2760.37,2377.41,2429.12
北投區,2119.89,265.61,168.99,174.04,160.97,176.48,183.93,175.84,163.90,156.13,184.79,150.67,158.54
松山區,2585.61,359.69,196.95,206.89,189.94,200.58,214.93,210.82,208.13,197.97,215.45,189.51,194.75
中山區,4085.22,506.40,331.15,341.79,312.93,338.02,342.13,346.97,309.16,300.96,343.47,306.14,306.10
南港區,1327.24,165.70,104.86,121.37,109.55,109.41,116.82,104.76,94.72,102.28,111.40,92.42,93.95
士林區,3013.40,371.41,247.12,252.85,235.17,255.26,266.81,252.25,228.09,216.35,254.21,214.73,219.15
內湖區,3388.84,438.32,256.84,266.81,250.16,272.80,292.83,298.91,276.89,261.83,289.81,243.85,239.79
信義區,3804.00,489.33,298.91,313.51,290.97,294.72,316.86,326.99,291.20,267.96,344.14,292.80,276.61
中正區,1688.24,216.84,135.69,140.02,129.33,127.14,141.53,139.36,127.24,129.11,143.87,122.70,135.41
萬華區,1626.35,215.32,133.95,138.74,131.45,137.63,140.39,134.38,115.71,115.58,131.50,112.39,119.31
大安區,3835.57,457.48,309.80,311.82,297.90,308.61,328.82,328.44,310.20,290.69,323.38,274.90,293.53
文山區,3471.41,467.27,276.02,266.76,260.80,269.70,295.52,302.50,291.52,261.89,282.72,240.37,256.34
大同區,1225.27,167.82,104.51,101.12,97.67,94.79,97.27,99.95,92.31,84.63,103.43,95.78,85.99
其他,355.51,27.39,9.65,24.20,15.97,54.01,42.46,22.15,14.71,21.97,32.20,41.15,49.65
