區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,32111.68,2780.17,3323.01,2398.02,2333.90,2444.58,2594.95,2708.84,2792.61,2698.10,2839.93,2504.79,2692.78
北投區,2167.20,193.97,230.34,161.76,160.53,164.82,175.32,177.74,192.95,178.79,183.31,171.40,176.27
松山區,2678.93,241.15,294.98,195.66,192.75,202.40,206.86,219.30,232.56,221.71,237.91,212.16,221.49
中山區,3877.40,354.53,401.66,291.07,284.72,297.39,307.79,316.09,336.20,321.59,343.25,295.19,327.92
南港區,1312.50,114.24,133.36,107.99,96.09,104.68,108.25,106.51,104.20,111.43,118.60,97.24,109.91
士林區,2802.75,240.82,284.28,203.44,202.49,212.27,231.82,239.37,235.26,244.49,250.40,215.26,242.85
內湖區,3168.62,268.63,338.19,227.86,228.77,235.94,255.63,261.43,297.89,261.78,289.71,244.09,258.70
信義區,3419.17,299.91,355.75,249.28,244.85,265.04,275.59,302.67,295.41,290.36,292.91,263.68,283.72
中正區,1751.72,145.93,181.42,129.01,138.76,132.94,142.22,146.40,149.27,145.76,158.02,137.71,144.28
萬華區,1730.59,153.10,181.07,135.64,129.24,136.02,134.23,139.69,142.51,139.92,154.84,139.92,144.41
大安區,4035.83,337.65,407.95,303.65,291.75,310.75,329.14,338.21,356.35,338.80,361.80,320.01,339.77
文山區,3373.00,283.78,362.23,251.14,243.13,254.30,281.79,290.88,297.83,286.87,291.86,252.14,277.05
大同區,1130.91,99.33,113.14,81.85,80.78,89.31,92.13,98.44,104.10,91.35,101.35,87.89,91.24
其他,663.06,47.13,38.64,59.67,40.04,38.72,54.18,72.11,48.08,65.25,55.97,68.10,75.17
