區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,41653.08,3607.72,4122.50,3359.04,3067.15,3421.98,3385.93,3582.12,3483.88,3437.52,3527.71,3309.56,3347.97
北投區,3211.94,296.70,319.73,262.88,243.46,271.32,261.08,266.84,256.78,257.78,273.64,248.42,253.31
松山區,3453.41,302.36,350.53,278.97,256.79,284.53,282.27,291.71,289.93,282.34,288.42,277.21,268.35
中山區,4964.34,438.71,479.89,408.84,372.86,405.97,402.97,420.15,414.09,402.96,416.84,392.06,409.00
南港區,1731.32,148.44,174.26,137.61,137.66,143.55,145.05,150.62,141.30,139.02,151.09,128.18,134.54
士林區,3717.49,320.28,367.78,300.39,266.36,300.16,305.37,324.26,315.94,308.44,318.41,295.06,295.04
內湖區,4326.65,376.77,434.04,334.57,315.66,351.84,360.46,376.83,360.17,363.48,364.65,342.70,345.48
信義區,3824.72,350.49,394.32,321.65,299.21,334.43,320.70,335.69,318.96,282.98,295.97,279.05,291.27
中正區,2316.10,193.59,218.16,185.94,165.14,187.71,192.73,207.13,205.28,192.72,199.38,184.53,183.79
萬華區,2240.03,192.47,228.92,180.90,160.98,189.79,187.13,190.60,179.88,186.82,190.98,174.87,176.69
大安區,5298.30,431.43,509.57,419.02,377.83,425.16,425.13,453.73,446.14,454.63,469.09,439.52,447.05
文山區,4265.77,357.05,435.44,335.54,299.43,335.87,335.74,372.60,356.65,351.62,382.25,354.71,348.87
大同區,1612.34,141.67,158.63,131.08,124.71,126.51,133.44,135.08,131.74,130.91,136.36,126.88,135.33
其他,690.67,57.76,51.23,61.65,47.06,65.14,33.86,56.88,67.02,83.82,40.63,66.37,59.25
