區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,28741.28,2950.82,2863.97,2233.67,2195.77,2242.69,2313.93,2629.07,2348.36,2211.37,2230.53,2264.06,2257.04
北投區,1957.01,196.28,194.32,159.72,157.32,153.40,159.77,178.03,155.61,148.34,149.04,153.42,151.76
松山區,2512.38,288.77,252.52,193.46,190.88,186.89,190.89,226.80,202.57,192.03,191.78,190.45,205.34
中山區,3562.43,371.31,355.34,283.59,280.36,284.44,283.17,317.32,283.22,273.19,269.47,279.32,281.70
南港區,1080.53,106.20,101.30,83.59,93.45,81.87,84.52,96.34,83.60,82.00,94.33,86.12,87.21
士林區,2548.57,250.41,254.29,197.18,199.48,201.83,219.95,237.51,198.79,190.34,190.88,210.43,197.48
內湖區,3000.87,326.36,305.89,213.63,217.06,229.11,244.88,283.65,245.25,232.33,235.38,234.36,232.97
信義區,3286.65,340.11,328.73,263.97,247.96,256.39,264.47,301.01,268.39,251.60,252.19,257.39,254.44
中正區,1493.15,139.65,140.12,121.73,116.01,121.17,122.03,131.50,131.62,109.37,118.10,123.29,118.56
萬華區,1451.61,152.90,136.62,111.49,107.91,111.07,110.38,125.52,113.32,113.99,120.59,124.44,123.38
大安區,3362.67,320.01,333.67,271.23,257.36,262.52,274.71,315.41,280.26,259.47,259.48,261.58,266.97
文山區,3138.05,313.89,325.97,232.45,232.91,246.69,260.75,294.01,256.86,247.27,241.04,245.86,240.35
大同區,1013.79,94.42,109.12,80.51,81.79,82.72,84.05,90.80,83.45,76.14,77.86,74.81,78.12
其他,333.57,50.51,26.08,21.12,13.28,24.59,14.36,31.17,45.42,35.30,30.39,22.59,18.76
