區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,38910.50,4314.61,2807.19,2971.67,2851.22,3042.25,3226.30,3354.54,3438.35,3235.47,3286.11,3161.33,3221.46
北投區,2862.16,298.00,191.25,203.90,201.93,205.42,228.96,237.46,255.43,255.69,268.06,254.38,261.68
松山區,3242.24,343.71,227.29,239.28,234.01,254.25,264.21,282.58,293.98,276.97,275.60,274.03,276.33
中山區,4850.21,528.63,352.90,378.01,365.66,383.09,402.58,414.22,432.61,401.29,405.02,389.24,396.96
南港區,1607.50,181.15,118.78,130.04,115.45,127.14,133.25,131.91,134.12,127.80,134.86,135.27,137.73
士林區,3475.34,389.03,252.22,258.99,260.53,278.31,293.55,302.17,310.55,288.28,284.70,271.80,285.21
內湖區,3971.60,455.36,287.10,297.13,288.38,311.83,332.79,354.79,348.53,314.23,334.49,319.08,327.89
信義區,3738.03,420.94,268.98,296.02,282.82,291.43,310.56,329.16,315.60,302.50,311.58,299.92,308.52
中正區,2098.35,229.02,151.33,157.65,152.21,164.32,170.02,185.28,185.67,179.84,180.41,170.88,171.72
萬華區,2143.23,250.37,159.93,167.65,158.27,177.37,174.46,178.96,174.09,170.14,179.31,174.71,177.97
大安區,4788.04,523.51,357.58,363.45,351.28,375.58,396.07,414.16,431.17,396.27,404.97,379.28,394.72
文山區,4013.27,466.93,292.84,304.43,288.05,313.90,337.61,355.00,355.24,328.67,335.93,320.31,314.36
大同區,1438.66,165.00,105.37,113.82,107.38,115.71,114.57,118.55,120.96,116.54,124.14,116.56,120.06
其他,681.87,62.96,41.62,61.30,45.25,43.90,67.67,50.30,80.40,77.25,47.04,55.87,48.31
