區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,36677.55,4214.76,2733.04,2839.47,2825.83,3070.69,3197.62,3258.64,3074.71,2911.67,2955.60,2706.48,2889.04
北投區,2504.73,280.08,176.74,195.82,191.13,205.20,225.20,214.22,204.07,202.95,215.50,194.69,199.13
松山區,2904.12,374.16,217.74,213.30,212.62,237.71,248.43,256.88,241.08,226.35,231.21,219.82,224.82
中山區,4651.05,535.24,358.97,366.12,357.93,380.59,394.53,400.62,389.85,372.52,383.27,346.71,364.70
南港區,1482.38,172.89,111.44,109.13,110.53,126.95,129.97,126.43,124.37,131.62,115.53,110.09,113.43
士林區,3513.24,370.14,265.89,285.72,275.16,301.70,313.81,307.42,305.15,283.06,281.74,253.21,270.24
內湖區,3594.30,385.30,255.98,261.41,273.73,302.85,324.17,334.75,309.95,286.49,300.77,277.36,281.54
信義區,3773.50,414.50,276.29,297.27,290.07,316.62,331.31,341.64,318.50,302.61,304.96,277.01,302.72
中正區,2161.83,247.40,163.14,173.54,168.80,191.05,185.17,195.40,180.26,173.44,164.27,155.19,164.17
萬華區,1991.65,238.51,147.90,156.10,165.10,177.44,178.90,169.87,162.49,151.54,153.72,141.80,148.28
大安區,4352.45,476.82,342.39,345.40,341.89,367.02,382.76,396.65,363.66,337.96,345.61,315.28,337.01
文山區,4181.98,517.18,318.30,313.33,319.49,338.81,361.36,378.34,360.81,334.56,320.70,302.04,317.06
大同區,1261.97,155.55,89.76,100.26,103.50,107.61,110.14,110.27,102.32,98.11,93.46,90.86,100.13
其他,304.35,46.99,8.50,22.07,15.88,17.14,11.87,26.15,12.20,10.46,44.86,22.42,65.81
