區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,26789.79,3264.45,2064.61,2138.97,2070.20,2199.17,2173.91,2232.03,2164.26,2138.63,2078.31,2013.58,2251.67
北投區,1858.77,217.29,133.68,147.59,149.32,156.37,153.66,160.44,148.91,146.76,145.08,138.60,161.07
松山區,2456.70,331.35,182.16,182.86,181.12,191.24,193.14,205.49,196.21,195.48,195.49,179.73,222.43
中山區,3309.20,396.14,255.12,267.66,260.99,272.01,270.01,277.43,269.28,264.15,252.18,243.64,280.59
南港區,1026.15,117.22,78.70,93.81,76.84,81.55,84.04,83.54,83.90,85.08,79.71,78.85,82.91
士林區,2258.51,260.86,175.06,186.40,182.29,188.13,189.93,183.59,182.47,176.11,177.04,174.59,182.04
內湖區,2673.69,366.61,210.93,210.74,209.40,218.27,213.95,226.80,215.47,203.71,201.45,186.98,209.38
信義區,3088.89,394.41,232.69,236.87,234.73,248.11,243.27,252.74,254.58,249.91,237.87,246.29,257.42
中正區,1363.09,157.70,104.53,116.26,100.91,113.80,105.54,110.01,107.53,109.81,107.33,108.65,121.02
萬華區,1487.44,176.74,114.31,120.03,121.13,128.36,120.72,121.60,116.57,115.79,115.52,110.73,125.94
大安區,3142.33,353.23,252.80,257.07,245.05,257.21,262.46,258.86,258.76,254.69,243.40,234.42,264.38
文山區,2944.26,357.68,242.36,231.39,224.78,234.53,241.88,246.91,235.36,241.66,230.96,215.89,240.86
大同區,929.72,113.98,68.88,73.58,70.66,83.18,73.38,76.31,73.08,73.90,73.63,72.14,77.00
其他,251.04,21.24,13.39,14.71,12.98,26.41,21.93,28.31,22.14,21.58,18.65,23.07,26.63
