區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,28769.83,2826.63,2748.79,2178.94,2164.98,2266.65,2269.58,2527.09,2458.12,2366.00,2391.15,2253.32,2318.58
北投區,2004.96,200.20,198.01,144.94,148.34,161.92,162.02,171.84,169.78,166.72,165.88,156.34,158.97
松山區,2434.99,244.23,241.75,184.27,183.73,191.84,184.35,209.66,208.43,202.61,198.24,190.79,195.09
中山區,3430.01,357.84,329.90,255.98,253.15,267.84,268.31,296.76,291.48,279.19,282.34,267.17,280.05
南港區,1270.82,124.55,114.03,99.37,95.12,104.23,107.20,109.36,100.26,114.48,99.74,96.84,105.64
士林區,2444.02,234.12,236.78,183.51,178.30,198.80,201.29,212.31,217.54,195.26,203.10,188.40,194.61
內湖區,2747.57,288.24,276.88,199.10,202.47,212.73,216.58,240.38,243.83,227.66,218.38,205.36,215.96
信義區,3161.65,320.48,297.34,237.90,238.45,257.80,247.36,267.48,259.47,255.80,266.15,265.33,248.09
中正區,1715.84,153.37,155.44,124.46,137.74,143.66,140.02,152.69,151.61,140.66,141.66,133.81,140.72
萬華區,1578.36,151.67,153.26,117.32,123.76,119.66,122.30,141.78,133.92,128.18,131.95,125.67,128.89
大安區,3425.73,317.43,319.25,253.89,267.93,269.34,271.08,304.21,299.54,285.23,286.02,270.75,281.06
文山區,3075.81,296.25,309.53,231.85,231.10,241.02,242.32,276.05,258.91,244.64,262.32,237.65,244.17
大同區,1080.53,103.58,104.50,79.53,77.88,81.98,80.43,100.60,92.13,89.62,94.04,88.40,87.84
其他,399.54,34.67,12.12,66.82,27.01,15.83,26.32,43.97,31.22,35.95,41.33,26.81,37.49
