區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,35013.30,3474.77,3672.30,2849.07,2586.54,3085.33,2933.71,2908.99,2855.65,2634.48,2721.68,2571.95,2718.83
北投區,2423.31,240.55,249.40,191.46,180.96,230.93,209.76,201.66,190.17,183.04,183.18,175.46,186.74
松山區,2848.05,315.32,323.66,224.06,203.22,234.58,221.67,234.37,227.86,213.30,229.40,211.22,209.39
中山區,4421.40,436.01,472.17,363.65,320.91,386.93,366.04,369.62,356.19,332.66,345.77,324.91,346.54
南港區,1486.74,161.94,156.62,115.65,103.13,145.55,133.75,116.30,118.45,100.66,120.20,110.84,103.65
士林區,3339.31,324.16,325.29,276.06,241.51,302.14,296.12,282.49,272.29,258.38,261.13,248.62,251.12
內湖區,3504.47,319.91,346.06,267.60,249.09,291.55,294.62,290.13,303.97,272.29,291.35,272.56,305.34
信義區,3800.62,358.35,413.05,305.73,270.32,334.04,304.61,302.74,304.77,284.75,298.14,287.70,336.42
中正區,1892.20,191.89,191.20,162.21,143.26,177.45,163.85,156.59,152.99,141.01,139.59,135.04,137.12
萬華區,1817.57,199.01,191.17,146.13,142.17,167.55,156.60,146.61,148.12,132.00,133.05,125.16,130.00
大安區,4122.41,385.34,410.57,344.70,307.05,365.42,348.79,357.20,339.44,317.70,326.17,300.34,319.69
文山區,3909.49,409.22,452.82,324.65,292.85,327.41,323.75,335.92,313.78,295.00,290.22,268.52,275.35
大同區,1200.50,119.59,123.94,93.85,90.20,109.53,98.59,95.58,102.24,84.84,92.04,87.23,102.87
其他,247.23,13.48,16.35,33.32,41.87,12.25,15.56,19.78,25.38,18.85,11.44,24.35,14.60
