區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,32319.25,3655.46,2905.68,2559.76,2478.20,2656.37,2532.43,2532.28,2483.59,2480.90,2602.69,2547.08,2884.81
北投區,2296.82,243.69,194.60,166.77,180.76,214.03,206.30,190.51,192.41,172.97,176.87,170.55,187.36
松山區,2622.07,343.53,234.79,202.88,194.10,209.03,196.58,211.39,191.58,204.04,201.44,197.85,234.86
中山區,4099.37,457.67,355.73,310.59,315.29,339.35,322.09,326.69,320.93,318.01,336.79,337.85,358.38
南港區,1434.99,171.65,116.68,114.51,131.31,123.58,106.61,106.03,104.00,104.20,114.31,118.59,123.52
士林區,3040.40,312.66,250.30,221.62,230.64,266.38,255.56,242.12,240.54,243.83,258.98,248.10,269.67
內湖區,3406.15,407.70,325.51,268.85,259.77,268.17,263.81,266.50,259.89,268.01,263.92,249.21,304.81
信義區,3665.20,435.53,342.18,287.65,281.18,302.13,290.57,273.70,273.10,265.00,283.89,296.64,333.63
中正區,1679.12,169.32,145.10,149.99,123.52,139.57,132.88,134.10,128.39,134.49,138.93,131.53,151.30
萬華區,1652.94,179.92,148.40,177.43,127.04,126.84,123.12,119.28,117.30,120.23,133.25,126.08,154.05
大安區,3634.91,387.11,338.17,290.58,277.70,299.63,276.53,282.11,281.65,280.24,293.79,296.44,330.96
文山區,3389.87,385.61,328.57,256.87,247.38,264.69,255.04,278.88,264.78,258.66,278.81,267.11,303.47
大同區,1179.10,120.83,106.70,95.68,90.32,94.88,92.38,89.74,89.35,87.48,101.80,97.70,112.24
其他,218.31,40.24,18.95,16.34,19.19,8.09,10.96,11.23,19.67,23.74,19.91,9.43,20.56
