區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,26870.92,3169.39,1882.60,2189.43,2004.33,2195.77,2220.50,2291.97,2238.74,2099.18,2217.76,2129.73,2231.52
北投區,1926.59,224.45,135.42,157.73,147.72,161.47,162.52,162.25,162.28,148.23,157.10,148.92,158.50
松山區,2413.16,303.94,173.17,198.70,177.89,198.25,197.31,210.47,196.88,183.70,192.52,187.79,192.54
中山區,3261.70,377.43,232.86,278.76,241.26,271.14,270.03,271.96,263.23,261.22,270.92,257.52,265.37
南港區,1069.12,120.82,71.85,89.83,78.07,87.44,88.15,84.49,85.55,89.77,92.68,89.22,91.25
士林區,2231.83,245.60,147.59,171.92,155.43,181.85,182.17,192.54,190.86,185.00,194.65,190.54,193.68
內湖區,2556.73,311.08,174.87,203.81,192.49,213.46,213.14,223.26,217.23,198.00,207.46,198.07,203.86
信義區,3078.55,383.84,217.09,257.15,238.94,247.82,250.25,258.45,249.31,233.10,246.43,252.93,243.24
中正區,1479.71,163.54,98.78,114.01,109.15,124.11,123.65,132.39,124.91,117.42,125.76,119.07,126.92
萬華區,1482.99,175.47,107.51,121.80,116.50,117.92,124.41,119.37,118.16,112.99,124.30,119.74,124.82
大安區,3088.00,356.24,224.86,260.95,228.31,253.72,250.64,266.02,254.02,246.02,255.95,241.78,249.49
文山區,2919.92,379.74,206.86,237.93,220.81,237.03,251.99,252.73,244.26,219.28,231.74,215.37,222.18
大同區,991.23,111.24,69.17,79.77,74.13,77.89,84.03,86.81,84.03,75.59,83.16,83.04,82.37
其他,371.39,16.00,22.57,17.07,23.63,23.67,22.21,31.23,48.02,28.86,35.09,25.74,77.30
