區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,37003.60,3149.39,3588.42,2888.35,2863.85,2994.33,2960.85,3176.26,3121.26,3051.52,3082.23,2891.49,3235.65
北投區,2557.56,219.31,233.58,195.43,206.29,206.08,202.14,225.05,209.33,220.16,216.65,197.11,226.43
松山區,2993.52,259.20,291.33,233.22,235.91,241.86,233.32,249.50,251.35,257.29,254.35,228.47,257.72
中山區,4373.59,380.40,420.47,347.08,339.21,352.81,342.14,369.33,365.66,350.23,356.85,351.76,397.65
南港區,1486.32,130.51,146.34,118.30,112.09,115.23,113.91,125.93,114.21,122.91,131.11,123.37,132.41
士林區,3253.31,273.97,293.70,250.45,252.05,261.72,267.53,277.69,277.63,278.22,263.10,264.76,292.49
內湖區,3758.85,324.59,375.89,282.54,290.90,304.77,295.40,328.20,307.68,307.57,315.39,294.58,331.34
信義區,3674.49,329.81,364.64,295.33,282.54,304.33,287.24,309.01,301.04,303.07,301.40,277.10,318.98
中正區,2047.38,174.87,216.76,165.61,160.35,170.23,159.36,172.96,175.46,163.08,163.71,156.58,168.41
萬華區,2109.03,174.50,202.07,161.65,165.51,172.85,169.91,176.55,178.37,176.03,177.84,166.45,187.30
大安區,4591.49,393.23,453.32,362.93,353.01,369.18,361.06,391.30,397.57,374.32,375.75,361.38,398.44
文山區,4056.84,327.75,402.01,317.84,319.06,322.54,339.64,364.77,341.37,330.89,332.62,309.50,348.85
大同區,1357.32,106.14,128.88,101.47,107.63,115.61,110.35,114.90,112.88,111.96,118.48,104.66,124.36
其他,743.90,55.11,59.43,56.50,39.30,57.12,78.85,71.07,88.71,55.79,74.98,55.77,51.27
