區,小計,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
小計,49590.55,5212.76,3680.16,3786.25,3696.57,3894.27,4024.05,4469.50,4248.06,4057.06,4312.88,3917.15,4291.84
北投區,3533.54,357.66,252.72,274.01,259.99,265.62,283.20,315.27,296.92,292.16,323.65,286.61,325.73
松山區,4054.91,436.59,303.26,299.69,297.14,319.07,323.18,364.35,344.16,319.84,359.10,330.19,358.34
中山區,5811.73,628.30,443.26,466.55,433.05,460.54,474.79,502.71,495.04,461.81,495.46,447.39,502.83
南港區,2008.35,223.87,152.95,158.04,152.05,157.17,166.23,164.40,170.02,166.75,169.63,155.49,171.75
士林區,4722.21,479.39,332.80,353.62,348.61,370.74,389.74,425.10,417.55,396.04,420.98,380.11,407.53
內湖區,5361.29,591.06,395.93,401.27,396.61,423.58,424.58,486.34,456.20,430.92,471.28,420.80,462.72
信義區,4132.21,436.51,315.73,329.12,315.97,328.15,343.21,362.29,348.78,330.71,354.86,318.87,348.01
中正區,2820.82,282.13,210.61,209.38,199.15,222.93,216.54,269.12,246.38,239.03,244.19,235.32,246.04
萬華區,2654.44,281.26,202.25,202.29,198.88,207.31,209.73,237.01,222.74,211.84,231.54,211.71,237.88
大安區,6638.87,695.83,493.97,504.62,497.52,518.30,541.17,610.94,568.51,543.86,570.08,527.84,566.23
文山區,5155.30,564.12,381.72,395.75,387.72,415.48,415.67,469.54,443.93,422.23,445.97,389.25,423.92
大同區,1665.00,177.00,124.47,129.19,124.65,131.99,136.28,145.66,139.19,135.81,146.92,129.95,143.89
其他,1031.88,59.04,70.49,62.72,85.23,73.39,99.73,116.77,98.64,106.06,79.22,83.62,96.97
